service_id,date,exception_type
433@3,20230409,2
4332@5,20230409,1
4332@3,20230409,2
470@5,20230409,1
470@3,20230409,2
436@5,20230409,1
436@3,20230409,2
4382@5,20230409,1
4382@3,20230409,2
441@5,20230409,1
441@3,20230409,2
T8@5,20230409,1
T8@3,20230409,2
473@5,20230409,1
473@3,20230409,2
M76@5,20230409,1
M76@3,20230409,2
A97@5,20230409,1
A97@3,20230409,2
A974@5,20230409,1
A974@3,20230409,2
O491@5,20230409,1
O491@3,20230409,2
491@5,20230409,1
491@3,20230409,2
4923@5,20230409,1
4923@3,20230409,2
4944@5,20230409,1
4944@3,20230409,2
4951@5,20230409,1
4951@3,20230409,2
50.1@5,20230409,1
50.1@3,20230409,2
5203@5,20230409,1
5203@3,20230409,2
525@5,20230409,1
525@3,20230409,2
T7@5,20230409,1
T7@3,20230409,2
2576@5,20230409,1
2576@3,20230409,2
60.1@5,20230409,1
60.1@3,20230409,2
60.4@5,20230409,1
60.4@3,20230409,2
60.5@5,20230409,1
60.5@3,20230409,2
605@5,20230409,1
605@3,20230409,2
608@5,20230409,1
608@3,20230409,2
6102@5,20230409,1
6102@3,20230409,2
6135@5,20230409,1
6135@3,20230409,2
620@5,20230409,1
620@3,20230409,2
520@5,20230409,1
520@3,20230409,2
621@5,20230409,1
621@3,20230409,2
624@5,20230409,1
624@3,20230409,2
B25@5,20230409,1
B25@3,20230409,2
627@5,20230409,1
627@3,20230409,2
A27@5,20230409,1
A27@3,20230409,2
6276@5,20230409,1
6276@3,20230409,2
O627@5,20230409,1
O627@3,20230409,2
631@5,20230409,1
631@3,20230409,2
M21@5,20230409,1
M21@3,20230409,2
M31@5,20230409,1
M31@3,20230409,2
7312@5,20230409,1
7312@3,20230409,2
632@5,20230409,1
632@3,20230409,2
6333@5,20230409,1
6333@3,20230409,2
637@5,20230409,1
637@3,20230409,2
6372@5,20230409,1
6372@3,20230409,2
650@5,20230409,1
650@3,20230409,2
652@5,20230409,1
652@3,20230409,2
M52@5,20230409,1
M52@3,20230409,2
6531@5,20230409,1
6531@3,20230409,2
654@5,20230409,1
654@3,20230409,2
656@5,20230409,1
656@3,20230409,2
B51@5,20230409,1
B51@3,20230409,2
659@5,20230409,1
659@3,20230409,2
A62@5,20230409,1
A62@3,20230409,2
662@5,20230409,1
662@3,20230409,2
6613@5,20230409,1
6613@3,20230409,2
O662@5,20230409,1
O662@3,20230409,2
661@5,20230409,1
661@3,20230409,2
E30.2@5,20230409,1
E30.2@3,20230409,2
B02@5,20230409,1
B02@3,20230409,2
B024@5,20230409,1
B024@3,20230409,2
6614@5,20230409,1
6614@3,20230409,2
665@5,20230409,1
665@3,20230409,2
6712@5,20230409,1
6712@3,20230409,2
B55@5,20230409,1
B55@3,20230409,2
703@5,20230409,1
703@3,20230409,2
704@5,20230409,1
704@3,20230409,2
7041@5,20230409,1
7041@3,20230409,2
7052@5,20230409,1
7052@3,20230409,2
7151@5,20230409,1
7151@3,20230409,2
718@5,20230409,1
718@3,20230409,2
C2@5,20230409,1
C2@3,20230409,2
C22@5,20230409,1
C22@3,20230409,2
C5@5,20230409,1
C5@3,20230409,2
C398@5,20230409,1
C398@3,20230409,2
C210@5,20230409,1
C210@3,20230409,2
C31@5,20230409,1
C31@3,20230409,2
B09@5,20230409,1
B09@3,20230409,2
B094@5,20230409,1
B094@3,20230409,2
A952@5,20230409,1
A952@3,20230409,2
A953@5,20230409,1
A953@3,20230409,2
A954@5,20230409,1
A954@3,20230409,2
E10@5,20230421,1
E10@1,20230421,2
T1@5,20230421,1
T1@1,20230421,2
T11@5,20230421,1
T11@1,20230421,2
T2@5,20230421,1
T2@1,20230421,2
T2A@5,20230421,1
T2A@1,20230421,2
T3@5,20230421,1
T3@1,20230421,2
10.4@5,20230421,1
10.4@1,20230421,2
T4@5,20230421,1
T4@1,20230421,2
10.52@5,20230421,1
10.52@1,20230421,2
T52@5,20230421,1
T52@1,20230421,2
10.6@5,20230421,1
10.6@1,20230421,2
T6@5,20230421,1
T6@1,20230421,2
10.61@5,20230421,1
10.61@1,20230421,2
10.62@5,20230421,1
10.62@1,20230421,2
10.7@5,20230421,1
10.7@1,20230421,2
T9@5,20230421,1
T9@1,20230421,2
A14@5,20230421,1
A14@1,20230421,2
A141@5,20230421,1
A141@1,20230421,2
E6011@5,20230421,1
E6011@1,20230421,2
149@5,20230421,1
149@1,20230421,2
1493@5,20230421,1
1493@1,20230421,2
244@5,20230421,1
244@1,20230421,2
2441@5,20230421,1
2441@1,20230421,2
A19@5,20230421,1
A19@1,20230421,2
171@5,20230421,1
171@1,20230421,2
1716@5,20230421,1
1716@1,20230421,2
173@5,20230421,1
173@1,20230421,2
177@5,20230421,1
177@1,20230421,2
178@5,20230421,1
178@1,20230421,2
179@5,20230421,1
179@1,20230421,2
176@5,20230421,1
176@1,20230421,2
M79@5,20230421,1
M79@1,20230421,2
C80@5,20230421,1
C80@1,20230421,2
282@5,20230421,1
282@1,20230421,2
2821@5,20230421,1
2821@1,20230421,2
184@5,20230421,1
184@1,20230421,2
188@5,20230421,1
188@1,20230421,2
189@5,20230421,1
189@1,20230421,2
195@5,20230421,1
195@1,20230421,2
20.21@5,20230421,1
20.21@1,20230421,2
20.6@5,20230421,1
20.6@1,20230421,2
209@5,20230421,1
209@1,20230421,2
210@5,20230421,1
210@1,20230421,2
216@5,20230421,1
216@1,20230421,2
T12A@5,20230421,1
T12A@1,20230421,2
211@5,20230421,1
211@1,20230421,2
A11@5,20230421,1
A11@1,20230421,2
A17@5,20230421,1
A17@1,20230421,2
M10@5,20230421,1
M10@1,20230421,2
A13@5,20230421,1
A13@1,20230421,2
2533@5,20230421,1
2533@1,20230421,2
2543@5,20230421,1
2543@1,20230421,2
255@5,20230421,1
255@1,20230421,2
2562@5,20230421,1
2562@1,20230421,2
2572@5,20230421,1
2572@1,20230421,2
2573@5,20230421,1
2573@1,20230421,2
250@5,20230421,1
250@1,20230421,2
251@5,20230421,1
251@1,20230421,2
254@5,20230421,1
254@1,20230421,2
2541@5,20230421,1
2541@1,20230421,2
2602@5,20230421,1
2602@1,20230421,2
2601@5,20230421,1
2601@1,20230421,2
262@5,20230421,1
