service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2572@2,0,0,0,0,0,1,0,20230313,20230613
2572@3,0,0,0,0,0,0,1,20230313,20230613
2572@5,0,0,0,0,0,0,0,20230313,20230613
2573@1,1,1,1,1,1,0,0,20230313,20230613
2573@2,0,0,0,0,0,1,0,20230313,20230613
2573@3,0,0,0,0,0,0,1,20230313,20230613
2573@5,0,0,0,0,0,0,0,20230313,20230613
250@1,1,1,1,1,1,0,0,20230313,20230613
250@2,0,0,0,0,0,1,0,20230313,20230613
250@3,0,0,0,0,0,0,1,20230313,20230613
250@5,0,0,0,0,0,0,0,20230313,20230613
251@1,1,1,1,1,1,0,0,20230313,20230613
251@2,0,0,0,0,0,1,0,20230313,20230613
251@3,0,0,0,0,0,0,1,20230313,20230613
251@5,0,0,0,0,0,0,0,20230313,20230613
253@1,1,1,1,1,1,0,0,20230313,20230613
253@2,0,0,0,0,0,1,0,20230313,20230613
254@1,1,1,1,1,1,0,0,20230313,20230613
254@2,0,0,0,0,0,1,0,20230313,20230613
254@3,0,0,0,0,0,0,1,20230313,20230613
254@5,0,0,0,0,0,0,0,20230313,20230613
2541@1,1,1,1,1,1,0,0,20230313,20230613
2541@2,0,0,0,0,0,1,0,20230313,20230613
2541@3,0,0,0,0,0,0,1,20230313,20230613
2541@5,0,0,0,0,0,0,0,20230313,20230613
260@2,0,0,0,0,0,1,0,20230313,20230613
260@3,0,0,0,0,0,0,1,20230313,20230613
260@5,0,0,0,0,0,0,0,20230313,20230613
2602@1,1,1,1,1,1,0,0,20230313,20230613
2602@2,0,0,0,0,0,1,0,20230313,20230613
2602@3,0,0,0,0,0,0,1,20230313,20230613
2602@5,0,0,0,0,0,0,0,20230313,20230613
R21@1,1,1,1,1,1,0,0,20230313,20230613
2601@1,1,1,1,1,1,0,0,20230313,20230613
2601@2,0,0,0,0,0,1,0,20230313,20230613
2601@3,0,0,0,0,0,0,1,20230313,20230613
2601@5,0,0,0,0,0,0,0,20230313,20230613
R22@1,1,1,1,1,1,0,0,20230313,20230613
20.62@1,1,1,1,1,1,0,0,20230313,20230613
G261@1,1,1,1,1,1,0,0,20230313,20230613
20.62@2,0,0,0,0,0,1,0,20230313,20230613
G261@2,0,0,0,0,0,1,0,20230313,20230613
262@1,1,1,1,1,1,0,0,20230313,20230613
262@2,0,0,0,0,0,1,0,20230313,20230613
262@3,0,0,0,0,0,0,1,20230313,20230613
262@5,0,0,0,0,0,0,0,20230313,20230613
R1@1,1,1,1,1,1,0,0,20230313,20230613
2621@1,1,1,1,1,1,0,0,20230313,20230613
270@1,1,1,1,1,1,0,0,20230313,20230613
170@1,1,1,1,1,1,0,0,20230313,20230613
271@1,1,1,1,1,1,0,0,20230313,20230613
2701@1,1,1,1,1,1,0,0,20230313,20230613
2701@2,0,0,0,0,0,1,0,20230313,20230613
2701@3,0,0,0,0,0,0,1,20230313,20230613
2701@5,0,0,0,0,0,0,0,20230313,20230613
2631@1,1,1,1,1,1,0,0,20230313,20230613
2631@2,0,0,0,0,0,1,0,20230313,20230613
2631@3,0,0,0,0,0,0,1,20230313,20230613
2631@5,0,0,0,0,0,0,0,20230313,20230613
263@1,1,1,1,1,1,0,0,20230313,20230613
A265@1,1,1,1,1,1,0,0,20230313,20230613
2632@1,1,1,1,1,1,0,0,20230313,20230613
2632@2,0,0,0,0,0,1,0,20230313,20230613
2632@3,0,0,0,0,0,0,1,20230313,20230613
2632@5,0,0,0,0,0,0,0,20230313,20230613
2633@1,1,1,1,1,1,0,0,20230313,20230613
264@1,1,1,1,1,1,0,0,20230313,20230613
264@2,0,0,0,0,0,1,0,20230313,20230613
264@3,0,0,0,0,0,0,1,20230313,20230613
264@5,0,0,0,0,0,0,0,20230313,20230613
165@1,1,1,1,1,1,0,0,20230313,20230613
165@2,0,0,0,0,0,1,0,20230313,20230613
165@3,0,0,0,0,0,0,1,20230313,20230613
165@5,0,0,0,0,0,0,0,20230313,20230613
266@1,1,1,1,1,1,0,0,20230313,20230613
266@2,0,0,0,0,0,1,0,20230313,20230613
266@3,0,0,0,0,0,0,1,20230313,20230613
266@5,0,0,0,0,0,0,0,20230313,20230613
2661@1,1,1,1,1,1,0,0,20230313,20230613
A66@1,1,1,1,1,1,0,0,20230313,20230613
286@1,1,1,1,1,1,0,0,20230313,20230613
286@2,0,0,0,0,0,1,0,20230313,20230613
286@3,0,0,0,0,0,0,1,20230313,20230613
286@5,0,0,0,0,0,0,0,20230313,20230613
284@1,1,1,1,1,1,0,0,20230313,20230613
284@2,0,0,0,0,0,1,0,20230313,20230613
284@3,0,0,0,0,0,0,1,20230313,20230613
284@5,0,0,0,0,0,0,0,20230313,20230613
A67@1,1,1,1,1,1,0,0,20230313,20230613
A671@1,1,1,1,1,1,0,0,20230313,20230613
A671@2,0,0,0,0,0,1,0,20230313,20230613
A28@1,1,1,1,1,1,0,0,20230313,20230613
A87@1,1,1,1,1,1,0,0,20230313,20230613
A87@2,0,0,0,0,0,1,0,20230313,20230613
A87@3,0,0,0,0,0,0,1,20230313,20230613
A87@5,0,0,0,0,0,0,0,20230313,20230613
289@1,1,1,1,1,1,0,0,20230313,20230613
289@2,0,0,0,0,0,1,0,20230313,20230613
289@3,0,0,0,0,0,0,1,20230313,20230613
