route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
165,165@5,165-1@5#810,,,0,,165-1,2,35
165,165@5,165-1@5#840,,,0,,165-1,2,35
165,165@5,165-1@5#910,,,0,,165-1,2,35
165,165@5,165-1@5#940,,,0,,165-1,1,35
165,165@5,165-1@5#1010,,,0,,165-1,2,35
165,165@5,165-1@5#1040,,,0,,165-1,2,35
165,165@5,165-1@5#1110,,,0,,165-1,2,35
165,165@5,165-1@5#1140,,,0,,165-1,2,35
165,165@5,165-1@5#1210,,,0,,165-1,2,35
165,165@5,165-1@5#1240,,,0,,165-1,2,35
165,165@5,165-1@5#1310,,,0,,165-1,2,35
165,165@5,165-1@5#1340,,,0,,165-1,2,35
165,165@5,165-1@5#1410,,,0,,165-1,2,35
165,165@5,165-1@5#1440,,,0,,165-1,2,35
165,165@5,165-1@5#1510,,,0,,165-1,2,35
165,165@5,165-1@5#1540,,,0,,165-1,2,35
165,165@5,165-1@5#1610,,,0,,165-1,2,35
165,165@5,165-1@5#1640,,,0,,165-1,2,35
165,165@5,165-1@5#1710,,,0,,165-1,2,35
165,165@5,165-1@5#1740,,,0,,165-1,2,35
165,165@5,165-1@5#1810,,,0,,165-1,2,35
165,165@5,165-1@5#1840,,,0,,165-1,2,35
165,165@5,165-1@5#1910,,,0,,165-1,2,35
165,165@5,165-1@5#1940,,,0,,165-1,2,35
165,165@5,165-1@5#2030,,,0,,165-1,2,35
165,165@5,165-1@5#2110,,,0,,165-1,2,35
165,165@5,165-1@5#2150,,,0,,165-1,2,35
165,165@5,165-1@5#2227,,,0,,165-1,2,35
165,165@5,165-1@5#2300,,,0,,165-1,2,35
266,266@1,266-1@1#555,,,0,,266-1,2,50
266,266@1,266-1@1#620,,,0,,266-1,1,50
266,266@1,266-1@1#650,,,0,,266-1,2,55
266,266@1,266-1@1#713,,,0,,266-1,1,55
266,266@1,266-1@1#745,,,0,,266-1,2,50
266,266@1,266-1@1#810,,,0,,266-1,1,50
266,266@1,266-1@1#840,,,0,,266-1,2,50
266,266@1,266-1@1#905,,,0,,266-1,1,50
266,266@1,266-1@1#933,,,0,,266-1,2,50
266,266@1,266-1@1#1000,,,0,,266-1,1,50
266,266@1,266-1@1#1030,,,0,,266-1,2,50
266,266@1,266-1@1#1055,,,0,,266-1,1,50
266,266@1,266-1@1#1130,,,0,,266-1,2,50
266,266@1,266-1@1#1155,,,0,,266-1,1,50
